[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:21:01.969588] Request Path: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:21:03.971672] No Authorization Header Found (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:21:03.971694] Request URL: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:21:03.971698] Request Path: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:21:05.973698] No Authorization Header Found (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:21:05.973712] Request URL: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:21:05.973715] Request Path: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:21:07.975900] No Authorization Header Found (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:21:07.975919] Request URL: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:21:07.975926] Request Path: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:21:09.977057] No Authorization Header Found (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:21:09.977076] Request URL: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:21:09.977079] Request Path: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:21:11.979074] No Authorization Header Found (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:21:11.979091] Request URL: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:21:11.979094] Request Path: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:21:15.982834] No Authorization Header Found (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:21:15.982855] Request URL: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
[PollStageAppStatusExecution] 4d8f45b0-79dd-4bee-823d-05b0e2a2c48d [2025-10-01T21:21:15.982952] Request Path: /health (STDOUT, APP/PROC/WEB)#
#2025 10 01 21:31:18.114#Z#DEBUG#b0c1141b-9f0d-11f0-9faf-eeee0a916215.mck-portal-srv#flowable-async-job-executor-thread-12024#
